"lon","lat","date","track_name","type"
"218",-117.780813922125,25.510477387172,2015-11-06,"crw_sim_2015CA-Bmu-05678","pseudos"
"219",-120.497867611561,34.4775946158754,2015-07-25,"crw_sim_2015CA-Bmu-04177","pseudos"
"220",-121.073790767143,34.8068205939284,1995-09-18,"crw_sim_1995CA-Bmu-23041","pseudos"
"221",-122.896159022311,37.2679594133674,2016-08-16,"crw_sim_2016CA-Bmu-00843","pseudos"
"222",-126.956270559736,33.7410093423729,2004-09-07,"crw_sim_2004CA-Bmu-10821","pseudos"
"223",-131.796083545933,54.0698035410381,2004-12-17,"crw_sim_2004CA-Bmu-10843","pseudos"
"224",-123.595246675192,35.150570587595,2005-10-17,"crw_sim_2005CA-Bmu-01389","pseudos"
"225",-116.994477403802,30.878928185685,2015-07-17,"crw_sim_2015CA-Bmu-04177","pseudos"
"226",-121.575951920262,32.711510081329,2017-08-19,"crw_sim_2017CA-Bmu-00835","pseudos"
"227",-119.326059067876,34.1983198126196,2008-07-29,"crw_sim_2008CA-Bmu-10821","pseudos"
"228",-119.612234528615,34.308081415239,2017-08-05,"crw_sim_2017CA-Bmu-05803","pseudos"
"229",-124.189252817779,34.8728002932551,2008-09-02,"crw_sim_2008CA-Bmu-00840","pseudos"
"230",-122.600311942708,34.9042187348673,1995-10-01,"crw_sim_1995CA-Bmu-00841","pseudos"
"231",-120.021185745405,22.6126349604324,2017-08-21,"crw_sim_2017CA-Bmu-05910","pseudos"
"232",-126.400322192196,38.1370939919068,2017-08-11,"crw_sim_2017CA-Bmu-23031","pseudos"
"233",-108.42985216505,19.7954477620741,2001-01-04,"crw_sim_2000CA-Bmu-10832","pseudos"
"234",-125.453162000645,31.5834960862951,2008-02-04,"crw_sim_2007CA-Bmu-04174","pseudos"
"235",-123.799887072888,39.0290142248507,2016-08-23,"crw_sim_2016CA-Bmu-05843","pseudos"
"236",-121.976642739661,36.1866304477056,2016-08-14,"crw_sim_2016CA-Bmu-05685","pseudos"
"237",-118.896618563407,31.0791448942219,1999-10-28,"crw_sim_1999CA-Bmu-23043","pseudos"
"238",-122.525515261632,37.786364070661,2016-08-14,"crw_sim_2016CA-Bmu-04172","pseudos"
"239",-125.641231316944,28.1838345388566,2008-01-30,"crw_sim_2007CA-Bmu-04174","pseudos"
"240",-125.986476219059,41.5959420197325,2008-04-19,"crw_sim_2007CA-Bmu-04174","pseudos"
"241",-127.432855398987,27.0627881773072,2006-04-07,"crw_sim_2005CA-Bmu-01390","pseudos"
"242",-130.442970827548,29.1289810239589,2004-11-03,"crw_sim_2004CA-Bmu-10821","pseudos"
"243",-117.362268841232,32.7246934677527,2008-03-15,"crw_sim_2007CA-Bmu-10836","pseudos"
"244",-121.601295538083,29.2913019367168,2008-10-29,"crw_sim_1993CA-Bmu-00830","pseudos"
"245",-121.137238701889,31.6193653090406,2005-11-08,"crw_sim_2005CA-Bmu-10829","pseudos"
"246",-118.115686577775,32.5085678541422,2007-06-28,"crw_sim_2006CA-Bmu-04175","pseudos"
"247",-122.824509389654,33.8149666123129,2008-08-16,"crw_sim_2008CA-Bmu-05644","pseudos"
"248",-120.453228708279,34.1538212524588,2004-08-22,"crw_sim_2004CA-Bmu-10820","pseudos"
"249",-122.238451371019,36.1454779425464,2017-11-12,"crw_sim_2017CA-Bmu-00845","pseudos"
"250",-131.989160835449,29.3889344730046,2015-10-10,"crw_sim_2015CA-Bmu-05678","pseudos"
"251",-128.500069239244,44.0652353621737,2005-10-27,"crw_sim_2005CA-Bmu-10821","pseudos"
"252",-120.271581208635,34.0869093088348,2004-08-21,"crw_sim_2004CA-Bmu-00834","pseudos"
"253",-112.696935471825,24.7798406670882,1999-11-21,"crw_sim_1999CA-Bmu-23031","pseudos"
"254",-120.201747888775,29.4855142484324,1999-09-04,"crw_sim_1999CA-Bmu-23043","pseudos"
"255",-97.9933688808578,13.9455730077412,2001-03-02,"crw_sim_2000CA-Bmu-01390","pseudos"
"256",-119.415897586477,31.9749628124423,1999-11-02,"crw_sim_1999CA-Bmu-02082","pseudos"
"257",-132.112268269357,32.668637280991,2005-11-13,"crw_sim_2005CA-Bmu-01390","pseudos"
"258",-122.945191257364,33.9716722500512,2015-07-29,"crw_sim_2015CA-Bmu-10839","pseudos"
"259",-123.439354307228,38.4992515469806,2016-09-24,"crw_sim_2016CA-Bmu-05843","pseudos"
"260",-123.452615598207,38.5429819680356,2004-08-05,"crw_sim_2004CA-Bmu-10833","pseudos"
"261",-120.621272498173,32.4646946594954,2017-08-06,"crw_sim_2017CA-Bmu-05803","pseudos"
"262",-123.731977042075,29.0935961260792,2006-10-01,"crw_sim_2006CA-Bmu-00832","pseudos"
"263",-123.354294549005,35.1372703850972,2004-08-25,"crw_sim_2004CA-Bmu-23030","pseudos"
"264",-122.654388910518,24.5435234037465,2007-05-20,"crw_sim_2006CA-Bmu-02083","pseudos"
"265",-132.210772138339,43.8063340791343,2004-12-02,"crw_sim_2004CA-Bmu-10843","pseudos"
"266",-120.367176734847,34.1825161625446,1995-09-19,"crw_sim_1995CA-Bmu-23040","pseudos"
"267",-118.101995836211,30.5743425833196,1995-10-01,"crw_sim_1995CA-Bmu-04173","pseudos"
